rank,score,family,name,center_window_over_core_mean,middle_third_over_side_thirds,core_rms_fraction,top_over_bottom,left_over_right,profile_rmse_x,profile_rmse_y,params_json
1,2.7070519881517288,horizontal_input_dip,horizontal_input_dip_d0.600_s1.750mm,0.7818736302869642,0.9972683629790198,0.22258004264348452,1.0000000157828333,1.0000000017853068,0.12645852150633613,0.05401912565686671,"{""amplitude_dip_family"": ""horizontal_input_dip"", ""amplitude_dip_depth"": 0.6, ""amplitude_dip_sigma_mm"": 1.75}"
2,2.7479778257875993,horizontal_input_dip,horizontal_input_dip_d0.600_s2.100mm,0.7734860020427574,0.9976711658826882,0.21371934741222498,1.000000017029692,1.0000000065080088,0.13023048196068118,0.04151366855777202,"{""amplitude_dip_family"": ""horizontal_input_dip"", ""amplitude_dip_depth"": 0.6, ""amplitude_dip_sigma_mm"": 2.1}"
3,2.966294249701942,horizontal_input_dip,horizontal_input_dip_d0.750_s1.400mm,0.7803272769470029,0.9955216593809512,0.3102798974903995,1.0000000277837322,1.000000002653695,0.1275227992686931,0.12266831596407043,"{""amplitude_dip_family"": ""horizontal_input_dip"", ""amplitude_dip_depth"": 0.75, ""amplitude_dip_sigma_mm"": 1.4}"
4,2.9936139435487576,horizontal_input_dip,horizontal_input_dip_d0.600_s1.400mm,0.823241816199138,0.9968843584166515,0.216936455313944,1.0000000221969376,1.0000000074439725,0.11506004295515966,0.08194255225774852,"{""amplitude_dip_family"": ""horizontal_input_dip"", ""amplitude_dip_depth"": 0.6, ""amplitude_dip_sigma_mm"": 1.4}"
5,3.0197235587937667,HG02_mix,HG02_mix_+0.200,0.7927138071125854,0.998695351664353,0.18197540591527342,1.0000000163974692,1.0000000084229512,0.12196450625600065,0.03488041121601448,"{""hg02_coefficient"": 0.20000000000000018}"
6,3.278499339727736,center_dip,center_dip_d0.300_s1.750mm,0.8190994946034166,0.8476630981210144,0.12057554217208515,0.9999999958957305,0.9999999935129747,0.10894149194129799,0.11893612849752098,"{""amplitude_dip_family"": ""center_dip"", ""amplitude_dip_depth"": 0.3, ""amplitude_dip_sigma_mm"": 1.75}"
7,3.381231449282167,center_dip,center_dip_d0.300_s2.100mm,0.8318094864542258,0.8661046134305814,0.11180420826479386,1.0000000075648232,0.9999999945596496,0.107462126788919,0.10759754616595645,"{""amplitude_dip_family"": ""center_dip"", ""amplitude_dip_depth"": 0.3, ""amplitude_dip_sigma_mm"": 2.1}"
8,3.445983346164227,HG02_mix,HG02_mix_+0.300,0.6962842002177383,0.9980677926280223,0.27179065610194897,1.0000000288839201,1.0000000114054148,0.181101837321098,0.0751114076142963,"{""hg02_coefficient"": 0.30000000000000004}"
9,3.467423831854953,center_dip,center_dip_d0.300_s1.400mm,0.8229484861149264,0.8343460866558475,0.12264540137084466,1.0000000050872841,0.9999999924849685,0.11899970293273275,0.13705410755742253,"{""amplitude_dip_family"": ""center_dip"", ""amplitude_dip_depth"": 0.3, ""amplitude_dip_sigma_mm"": 1.4}"
10,3.5998028608480013,center_dip,center_dip_d0.450_s2.100mm,0.7254217662498801,0.7807559122099338,0.18886226138325035,1.0000000110139904,0.9999999958891284,0.09649943792941985,0.14897049373485494,"{""amplitude_dip_family"": ""center_dip"", ""amplitude_dip_depth"": 0.44999999999999996, ""amplitude_dip_sigma_mm"": 2.1}"
11,3.6729636902614553,horizontal_input_dip,horizontal_input_dip_d0.750_s1.750mm,0.7033768805485546,0.9958664647993593,0.3306121960809173,1.000000030976357,1.0000000023469868,0.17522583108697076,0.10379825168322594,"{""amplitude_dip_family"": ""horizontal_input_dip"", ""amplitude_dip_depth"": 0.75, ""amplitude_dip_sigma_mm"": 1.75}"
12,3.9517514595093313,horizontal_input_dip,horizontal_input_dip_d0.450_s1.750mm,0.8532311041867489,0.9982710475781664,0.14256010546621772,1.0000000031764,0.999999995429435,0.11501940545605428,0.06261962147979935,"{""amplitude_dip_family"": ""horizontal_input_dip"", ""amplitude_dip_depth"": 0.44999999999999996, ""amplitude_dip_sigma_mm"": 1.75}"
13,4.003504583857772,vertical_input_dip,vertical_input_dip_d0.300_s1.750mm,0.8350188541373,0.7846359683604569,0.15661807114918289,1.000000001652527,0.9999999895411653,0.14126344210704342,0.16702723199723812,"{""amplitude_dip_family"": ""vertical_input_dip"", ""amplitude_dip_depth"": 0.3, ""amplitude_dip_sigma_mm"": 1.75}"
14,4.074516646594299,horizontal_input_dip,horizontal_input_dip_d0.450_s2.100mm,0.854268663848398,0.9985652200720313,0.13301527962401713,1.0000000165313345,0.999999997409523,0.11503058041269894,0.06026123431362241,"{""amplitude_dip_family"": ""horizontal_input_dip"", ""amplitude_dip_depth"": 0.44999999999999996, ""amplitude_dip_sigma_mm"": 2.1}"
15,4.0905677878238444,vertical_input_dip,vertical_input_dip_d0.300_s0.350mm,0.8429654885223989,0.775950499220117,0.17724611956125985,0.9999999925431039,0.9999999941529395,0.1577452827923382,0.16213568958144792,"{""amplitude_dip_family"": ""vertical_input_dip"", ""amplitude_dip_depth"": 0.3, ""amplitude_dip_sigma_mm"": 0.35}"
16,4.093367560364916,vertical_input_dip,vertical_input_dip_d0.300_s2.100mm,0.8692848045855928,0.8253769764139196,0.12962243637627507,1.000000000727371,1.0000000032251855,0.14330656410891723,0.1507221635385958,"{""amplitude_dip_family"": ""vertical_input_dip"", ""amplitude_dip_depth"": 0.3, ""amplitude_dip_sigma_mm"": 2.1}"
