branch,z_m,pupil_power_loss_percent,focal_power_transmission_percent,no_pupil_center_ratio,clipped_center_ratio,center_ratio_change,no_pupil_middle_over_sides,clipped_middle_over_sides,middle_over_sides_change,no_pupil_core_rms_fraction,clipped_core_rms_fraction,core_rms_fraction_change,footprint_iou_clipped_vs_no_pupil,normalized_relative_l2_in_roi,normalized_peak_abs_difference_in_roi
measured_G,0.0,0.05776279822937713,99.94223720177062,0.9848933937280052,0.9842271534781111,-0.0006662402498941455,0.9772681051066894,0.9773460973584858,7.799225179638825e-05,0.06422035486518222,0.06305343744238161,-0.0011669174228006174,1.0,0.018111797232922413,0.07898100930589336
measured_G,0.1,0.05795549402075606,99.94204450597925,0.9848934378420163,0.9842166001608401,-0.0006768376811762122,0.9772681202194043,0.9773334616708416,6.534145143721748e-05,0.06422032621245707,0.06306533295523278,-0.0011549932572242905,1.0,0.018135509905559316,0.07952235929526008
measured_G,0.2,0.057996139120153334,99.94200386087984,0.9848933998690567,0.9842384250361798,-0.0006549748328769089,0.9772681257919786,0.9773286369445348,6.051115255611972e-05,0.0642203318655673,0.06306923639539867,-0.001151095470168631,1.0,0.0181724567006574,0.07922650113593876
measured_G,0.30000000000000004,0.058264652801087724,99.94173534719891,0.9848934385534053,0.9842580870094639,-0.0006353515439413426,0.9772681153893737,0.977324189422362,5.607403298824032e-05,0.0642203312169686,0.06307232359028529,-0.001148007626683309,1.0,0.018182491847409818,0.07913359709395906
measured_G,0.4,0.05885815268943384,99.94114184731058,0.9848934531436299,0.9842666640257504,-0.0006267891178795004,0.9772681199576765,0.9773096387088506,4.1518751174085544e-05,0.06422033037792181,0.0630865976132852,-0.0011337327646366163,1.0,0.018198165892463668,0.07901289163285541
measured_G,0.5,0.05959811796357739,99.94040188203643,0.9848934046103465,0.9842501499884257,-0.0006432546219207191,0.9772681104284344,0.9773097879800963,4.167755166184506e-05,0.06422032753845984,0.06307657840262423,-0.0011437491358356061,1.0,0.018241966454471206,0.07919884547248812
measured_G,0.6000000000000001,0.06051627332321896,99.93948372667678,0.9848934108903258,0.9842544830875457,-0.000638927802780076,0.9772680930513115,0.9773005775423347,3.2484491023221373e-05,0.06422033259420751,0.06307251008391458,-0.0011478225102929257,1.0,0.018246281759885023,0.0795656768553874
measured_G,0.7000000000000001,0.06171316503298385,99.93828683496702,0.9848934851983103,0.984255688913214,-0.0006377962850963037,0.9772681266099574,0.9772956250996716,2.749848971417279e-05,0.06422032929701717,0.063085756727737,-0.001134572569280165,1.0,0.018250393152034052,0.07934791437178079
measured_G,0.8,0.0632076494965772,99.93679235050342,0.9848934412644297,0.9842519382033735,-0.0006415030610561478,0.9772681180749618,0.977286891132114,1.8773057152143835e-05,0.06422032923186512,0.06307797334969288,-0.0011423558821722357,1.0,0.01828333333116926,0.07903357903566821
measured_G,0.9,0.0649995587144403,99.93500044128557,0.9848934159246995,0.9842843809945756,-0.0006090349301238751,0.9772681097740249,0.9773103475225104,4.223774848555184e-05,0.0642203276319681,0.06307568307181746,-0.0011446445601506344,1.0,0.01827534665140793,0.07911038120315284
measured_G,1.0,0.06712311424753592,99.93287688575246,0.9848934771644834,0.9842580413138866,-0.0006354358505967772,0.9772681253213226,0.9772724697435928,4.34442227026377e-06,0.06422032209455332,0.06312874003025774,-0.0010915820642955765,1.0,0.0182628045580909,0.08028959700702987
ideal_6p5mm_G,0.0,0.0023514977235405965,99.99764850227646,1.0083830074922924,1.008954915896108,0.0005719084038156019,1.0029217656247873,1.002896864979999,-2.4900644788328208e-05,0.022848891660276555,0.02309792256226703,0.00024903090199047614,1.0,0.005607196260937947,0.018997553525378352
ideal_6p5mm_G,0.1,0.002600112097317364,99.99739988790267,1.008383056918368,1.0089974837866298,0.0006144268682617415,1.0029217662055698,1.0028754788602645,-4.6287345305318084e-05,0.022848853842696238,0.0231036717579918,0.0002548179152955625,1.0,0.005841343123391781,0.019665920791159253
ideal_6p5mm_G,0.2,0.0030096196322437763,99.99699038036775,1.0083830439144734,1.0090631167714823,0.0006800728570088843,1.0029217794763299,1.002865549626664,-5.622984966580091e-05,0.022848864132363277,0.023119633893281744,0.0002707697609184677,1.0,0.006155511268867026,0.020499595000750492
