input,pupil_diameter_mm,z_m,pupil_power_loss_percent,focal_power_transmission_percent,no_pupil_center_ratio,clipped_center_ratio,center_ratio_change,no_pupil_middle_over_sides,clipped_middle_over_sides,middle_over_sides_change,no_pupil_core_rms_fraction,clipped_core_rms_fraction,core_rms_fraction_change,footprint_iou_clipped_vs_no_pupil,normalized_relative_l2_in_roi,normalized_peak_abs_difference_in_roi
measured_G_full_frame,14.0,0.0,0.0642244924544122,99.93577550754559,0.9848933937280052,0.9839798268116172,-0.0009135669163879978,0.9772681051066894,0.9771271975455609,-0.00014090756112850045,0.06422035486518222,0.06337000655842545,-0.0008503483067567735,1.0,0.019575593211095237,0.08284312516224879
measured_G_full_frame,13.0,0.0,0.07062577183644114,99.92937422816355,0.9848933937280052,0.9840335058689064,-0.0008598878590988512,0.9772681051066894,0.9769979965330091,-0.0002701085736802611,0.06422035486518222,0.06396600116892119,-0.00025435369626103377,1.0,0.020443412027214156,0.0878849210795607
measured_G_full_frame,14.0,0.1,0.06432693290451263,99.93567306709548,0.9848934378420163,0.983969438216337,-0.0009239996256793503,0.9772681202194043,0.9771268381926582,-0.00014128202674612567,0.06422032621245707,0.06338885082326289,-0.000831475389194189,1.0,0.01956343960952716,0.08281892563901239
measured_G_full_frame,13.0,0.1,0.07172756991353779,99.92827243008647,0.9848934378420163,0.9839473782439492,-0.0009460595980671505,0.9772681202194043,0.9769850785281335,-0.00028304169127080225,0.06422032621245707,0.06403949324540359,-0.00018083296705348473,1.0,0.020479438767933674,0.08792574853666135
measured_G_full_frame,14.0,0.2,0.06480265019281894,99.93519734980718,0.9848933998690567,0.9840012774091821,-0.0008921224598745781,0.9772681257919786,0.9771050116672606,-0.00016311412471803344,0.0642203318655673,0.06341166970908471,-0.0008086621564825924,1.0,0.019555010601653842,0.08293551157904044
measured_G_full_frame,13.0,0.2,0.07320862152336849,99.92679137847664,0.9848933998690567,0.9839384030084388,-0.0009549968606178405,0.9772681257919786,0.9769620654580815,-0.00030606033389712906,0.0642203318655673,0.06414800467637397,-7.232718919333858e-05,1.0,0.020522324082600227,0.08849286771963216
measured_G_full_frame,14.0,0.30000000000000004,0.06546506538701591,99.93453493461298,0.9848934385534053,0.9839760204831545,-0.0009174180702508083,0.9772681153893737,0.9771005839534312,-0.00016753143594250286,0.0642203312169686,0.0634216351216394,-0.0007986960953292044,1.0,0.01958142618734986,0.083162890655893
measured_G_full_frame,13.0,0.30000000000000004,0.07495224776314924,99.92504775223685,0.9848934385534053,0.9837780102499614,-0.0011154283034439105,0.9772681153893737,0.9769115087256912,-0.0003566066636825349,0.0642203312169686,0.06428339824056108,6.306702359247518e-05,1.0,0.020622971536383112,0.08869507950429267
measured_G_full_frame,14.0,0.4,0.06626016631706699,99.93373983368292,0.9848934531436299,0.9839707942204172,-0.0009226589232126381,0.9772681199576765,0.9770679913536919,-0.00020012860398455068,0.06422033037792181,0.06345884314303754,-0.00076148723488427,1.0,0.019602774066065316,0.08288703525104713
measured_G_full_frame,13.0,0.4,0.07730380746224785,99.92269619253776,0.9848934531436299,0.9837841698235223,-0.0011092833201075125,0.9772681199576765,0.9768973916704317,-0.00037072828724482587,0.06422033037792181,0.06442011449300812,0.00019978411508631,1.0,0.02077990417465707,0.08927953502136288
