rank,score,name,defocus_waves,astigmatism_waves,spherical_waves,center_ratio,middle_over_sides,core_rms_fraction,profile_rmse_x,profile_rmse_y
1,3.034525940617585,D+0.40_A-0.60_S+0.00waves,0.3999999999999999,-0.6,0.0,0.8243912102677654,0.9964612546182914,0.29417959952633815,0.10817392804721458,0.07550537792941117
2,3.1425192710364334,D+0.20_A-0.20_S+0.00waves,0.19999999999999996,-0.2,0.0,0.7079120719712155,0.9920502976935991,0.25564567219470113,0.15705753468153363,0.1119894688755086
3,3.7943945109592025,D+0.00_A-0.20_S+0.00waves,0.0,-0.2,0.0,0.8700409443747076,0.9730468390749649,0.33143964759801464,0.1534814248332233,0.1761537982736523
4,4.2014505703651555,D+0.40_A+0.20_S-0.20waves,0.3999999999999999,0.19999999999999996,-0.2,0.7120028661222805,0.9267545130339828,0.4237434577256083,0.12332912475484449,0.21353883186703765
5,5.205703596999987,D+0.60_A-0.40_S+0.00waves,0.6,-0.4,0.0,0.8510533485436478,1.0874047993522087,0.2263098791165785,0.09973412385774062,0.0808689722949994
6,5.689336152791734,D+0.20_A+0.00_S+0.00waves,0.19999999999999996,0.0,0.0,0.8997393493121112,1.077352945270423,0.2703493213378427,0.12489356816038273,0.1830321849958566
7,5.752395377184094,D+0.40_A+0.00_S+0.00waves,0.3999999999999999,0.0,0.0,0.7583221396409098,1.1198638683396347,0.2688429980333589,0.16336041250184233,0.1413732969186137
8,6.458761507340463,D+0.60_A-0.60_S+0.00waves,0.6,-0.6,0.0,0.9789467382175632,1.0073395153830014,0.13397780489833522,0.1754903538410314,0.1605629829929221
9,6.514412090038293,D+0.40_A-0.40_S+0.00waves,0.3999999999999999,-0.4,0.0,0.5814263900330032,0.9943308678791256,0.3982780779390351,0.2664960988899985,0.1914930939121767
10,6.689301543032948,D+0.60_A+0.40_S-0.20waves,0.6,0.3999999999999999,-0.2,0.9065864591499119,1.1080049802729393,0.2967960365957075,0.11901409708706358,0.32375658116230543
11,6.761784189579871,D+0.00_A+0.00_S+0.00waves,0.0,0.0,0.0,0.9727361714796586,0.9769157321045063,0.05863960515826378,0.1814225906356926,0.14513446884672998
12,7.478728859399445,D+0.60_A-0.20_S+0.00waves,0.6,-0.2,0.0,0.6388712971517224,1.1196787653673854,0.4018646219086432,0.26059589993309556,0.19408124086100922
13,7.697715776080928,D+0.60_A-0.60_S-0.20waves,0.6,-0.6,-0.2,0.8319988844165787,0.8498941770597932,0.5975689720288188,0.20591409575734104,0.3510799248764307
14,7.702297000607111,D+0.20_A+0.00_S-0.20waves,0.19999999999999996,0.0,-0.2,0.7430317361566751,0.8235567640540618,0.5122101321863787,0.7693468425777897,0.18185831601446348
15,8.643889731811669,D+0.40_A+0.20_S+0.00waves,0.3999999999999999,0.19999999999999996,0.0,0.9960785714433055,1.150791216934633,0.2784055023362204,0.1851871669661614,0.21394402078680327
16,8.93723497353803,D+0.60_A+0.20_S+0.00waves,0.6,0.19999999999999996,0.0,0.8445941160445315,1.2374071033843934,0.29202513466497365,0.18552895738167058,0.23932117199167857
17,9.16766366478623,D+0.20_A+0.00_S+0.20waves,0.19999999999999996,0.0,0.19999999999999996,0.8883234083002772,1.2383530641547558,0.24944079195502247,0.18951361767877753,0.20552255287603485
18,9.196477119244875,D+0.60_A+0.20_S-0.20waves,0.6,0.19999999999999996,-0.2,0.5234587363379356,1.0521547232350759,0.4818138060342954,0.38276997615527275,0.24409105369702563
19,9.286760823278431,D+0.00_A-0.40_S+0.00waves,0.0,-0.4,0.0,0.741038526279367,1.1847610296758468,0.5299596480771579,0.21991437104769548,0.12951113421252436
20,9.291484718482904,D+0.40_A-0.40_S+0.20waves,0.3999999999999999,-0.4,0.19999999999999996,0.8659359665000834,1.2533431004220044,0.27602548958933176,0.138896517354833,0.1510641937779598
21,9.322526980095683,D+0.40_A-0.20_S+0.20waves,0.3999999999999999,-0.2,0.19999999999999996,0.7079419657716015,1.2476938118876078,0.34378748156280886,0.22138174530928156,0.22002257071641182
22,9.387710685699115,D+0.20_A-0.40_S+0.00waves,0.19999999999999996,-0.4,0.0,0.4712572084352272,0.9800371783990025,0.46093044759703206,0.3558913119133726,0.27623730049395906
23,9.408241413043829,D+0.60_A+0.20_S-0.40waves,0.6,0.19999999999999996,-0.4,0.5925418506756297,0.7854648335424782,0.5828877444885557,0.5612268482602509,0.2004401509554798
24,9.447733730093717,D+0.20_A+0.20_S+0.00waves,0.19999999999999996,0.19999999999999996,0.0,1.0522024826220224,1.1110859482691064,0.10377996701807729,0.22683600991525268,0.18702099734035613
25,9.766814922395227,D+0.40_A-0.20_S+0.00waves,0.3999999999999999,-0.2,0.0,0.4785630407044317,1.0794316849019716,0.4133991182557676,0.3650183871173958,0.2943964758012412
26,9.88039265362367,D+0.20_A-0.20_S+0.20waves,0.19999999999999996,-0.2,0.19999999999999996,0.7019060159610254,1.2654410903240527,0.35839983135047304,0.2410052972827523,0.2514509165949732
27,9.95579609573802,D+0.40_A-0.20_S-0.20waves,0.3999999999999999,-0.2,-0.2,0.6674863022739088,0.7366603001133998,0.6453747665043336,0.40294811379618145,0.3692429844901235
28,10.014243633957877,D+0.60_A+0.00_S+0.00waves,0.6,0.0,0.0,0.532685434300014,1.1538749317487074,0.4192907717624657,0.3727578357380943,0.351877116240764
29,10.022446920574112,D+0.60_A+0.00_S-0.20waves,0.6,0.0,-0.2,0.5909060304140776,0.8349185293195656,0.6562211068042799,0.3690410459151831,0.33718321013753216
