z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,outer_band_rmse,inside_fill_fraction,outside_fraction,size50_x_um,size50_y_um,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score
-1.0,0.34375,22.77567959679342,0.4730611995850876,0.3080223196050626,0.9499694935936547,0.5127980474372614,480.0,220.0,False,1.0383554888751547,1.196460332542778,0.384743061651336,10.329319686294879
-0.875,-0.03125,22.478434748302245,0.4848731600375822,0.3238160091255131,0.9480170835875534,0.5001608441098887,480.0,220.0,False,1.1639699852638952,1.2433103123654714,0.3138973830490348,13.08994153296465
-0.75,0.21875,22.118422745295387,0.4815624810157342,0.29040808447942246,0.9707138499084808,0.5097072419106318,480.0,220.0,False,1.2800798408175658,1.243012052342691,0.3073193515663125,15.36176707203866
-0.625,0.5,21.992644464350036,0.47441395922683743,0.2644057315195173,0.9892617449664429,0.5212307328884427,480.0,220.0,False,1.3318741882583294,1.194529904296152,0.2818972788878787,15.815004284541576
-0.5,0.5,23.588542180568783,0.46353407567189414,0.38925862768233865,0.974130567419158,0.5287763414202231,480.0,220.0,False,1.4449865512527948,1.1998469752368588,0.28199480018104767,18.412957847783936
-0.375,0.28125,26.142732259993444,0.4695718385755286,0.7323885172134035,0.9821842586943258,0.5244875051692562,480.0,220.0,False,1.0077245808126787,1.2364140240946502,0.3934381465157886,10.677445420819442
-0.25,-0.5,9.258491530864635,0.843863711544823,0.3960884153771683,0.9377669310555217,0.10211473302955953,385.00000000000006,150.0,True,0.5714898974041546,0.8701182962049719,0.3985872415501566,5.90277530905806
-0.125,-0.3125,2.100064952400259,0.9835844664951611,0.1723768130535631,0.9797437461866992,0.0,370.00000000000006,135.0,True,0.7510426813905797,0.9073120097564807,0.19865637077213064,1.194674577539914
0.0,0.0,0.04881134069503589,1.0,1.3086510040213473e-07,0.9960951799877974,0.0,370.00000000000006,135.0,True,0.9989019002050464,0.9999464017644392,0.007574645829490279,7.856624577227443
0.125,0.375,1.4422550784536554,0.9864521591871296,0.1149688678983864,0.9980475899938988,0.00968640271219276,380.00000000000006,135.0,True,1.1933736372859494,1.0941549110295297,0.14179284673838238,11.783079369000038
0.25,0.5,13.869597330832915,0.7219159622687737,0.40874508206453836,0.7190970103721781,0.0,355.0,120.0,False,1.7803451470393228,1.1625473795409638,0.47097077194231585,26.394910826756732
0.375,0.5,29.91239133801925,0.36763444811956386,0.7416886575750594,0.3661989017693716,0.0,315.00000000000006,65.0,False,2.993958465521076,1.4200954984472134,1.1541114934988994,59.82038192851135
0.5,-0.0625,31.50112077993444,0.3433786598064437,0.8233272149272661,0.3420378279438682,0.0,225.00000000000003,110.0,False,2.903243710589736,6.322108078333086,1.2180796290507736,146.9580956169527
0.625,0.1875,31.06263525402122,0.349993874800931,0.8004386724570293,0.34862721171446004,0.0,215.00000000000003,125.0,False,3.5192813308848647,8.733998598891919,1.2414944961141714,208.5197098546284
0.75,0.5,30.679618491192734,0.36040112510700745,0.7950796726807596,0.35960951799877977,0.004728132387706856,220.0,140.00000000000003,False,4.006647218663404,9.94563857717235,1.2869622032008001,241.08892065075483
0.875,-0.5,36.89264151470708,0.29218017231977317,0.8845195095971983,0.3269066503965833,0.2729986431478969,140.00000000000003,220.0,False,4.255661434180361,18.599930572586537,1.4927234570001437,451.7098638170991
1.0,-0.5,32.0906604554447,0.39150211930114753,0.790951648934357,0.462111043319097,0.2850670190673966,190.00000000000003,220.0,False,2.132645510857443,4.966312941196939,0.9936296943188659,108.25607382339444
