z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,outer_band_rmse,inside_fill_fraction,outside_fraction,size50_x_um,size50_y_um,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score
-1.0,-0.5,25.011090334123438,0.4526834818888678,0.3950638615076679,0.8738255033557047,0.5167037861915368,480.0,220.0,False,1.0008701929919885,1.069566582276452,0.35722378932844767,7.432911747362943
-1.0,-0.46875,24.448216084683146,0.4633943958639178,0.390433163255305,0.8859060402684564,0.5082633432674072,480.0,220.0,False,0.9799098420127951,1.0969510895308077,0.3404838409042781,7.387958953995834
-1.0,-0.4375,24.06158181609881,0.46936172926098324,0.38480737400620074,0.8982306284319708,0.5053423829043747,480.0,220.0,False,0.9694837574407037,1.1291471890683953,0.3234263514416024,7.7131627466651285
-1.0,-0.40625,23.693327411935545,0.4754811073460776,0.3788377925423317,0.9075045759609518,0.5013744552463962,480.0,220.0,False,0.969337802607044,1.1633211299344317,0.3138893112665406,8.33859371368028
-1.0,-0.375,23.529369818039157,0.4771641505828397,0.3739118122336319,0.9140939597315436,0.5014973048512678,480.0,220.0,False,0.977497727921065,1.196167832206731,0.3168398061120135,9.126180646444585
-1.0,-0.34375,23.38439313446693,0.47890094549146517,0.37179424084226415,0.9209273947528981,0.5016179092650069,480.0,220.0,False,0.990560302355188,1.2243748234956124,0.3303617514989823,9.925953658383165
-1.0,-0.3125,23.208770634073403,0.481504980648436,0.37383780792193827,0.9284929835265405,0.4989793902679924,480.0,220.0,False,1.0042657988603452,1.2451953031186294,0.3471577698043658,10.597764234826057
-1.0,-0.28125,22.96547333819948,0.4862106130729728,0.3801053501975683,0.9397193410616229,0.49597486746514824,480.0,220.0,False,1.014263128264735,1.2569837109473745,0.35966920539020697,11.02240016225597
-1.0,-0.25,23.143162683879012,0.48402606440184726,0.38902356488989764,0.937522879804759,0.49767898005884276,480.0,220.0,False,1.016918681192987,1.2595127817050664,0.36375319318347266,11.12653879461534
-1.0,-0.21875,23.404315919239284,0.4800025193676387,0.397900310881402,0.9338621110433191,0.5009455493968047,480.0,220.0,False,1.0099838374445465,1.2539484762275663,0.35965355167542823,10.902304388363513
-1.0,-0.1875,23.63518033896065,0.47673320319879103,0.4039909402204915,0.9277608297742526,0.5027143698083589,480.0,220.0,False,0.9929826825841058,1.242497105987327,0.35110123031067686,10.406021706212679
-1.0,-0.15625,23.79408611662875,0.4746823440166888,0.40552538085998235,0.9201952410006101,0.5027365644576327,480.0,220.0,False,0.9672306964827511,1.2278505817042464,0.3431422608118892,9.739036815162436
-1.0,-0.125,23.805666214317185,0.47468716254843424,0.4023024810133056,0.9158023184868822,0.5014282867202551,480.0,220.0,False,0.9355228647776037,1.2126294835806266,0.33938577281928867,9.022173630713644
-1.0,-0.09375,23.703876660511924,0.47578746420617246,0.395714284644082,0.9162904209884075,0.5003659591456517,480.0,220.0,False,0.9015754008496023,1.1989572373137722,0.34021935905108247,8.369597557670426
-1.0,-0.0625,23.876925788584522,0.47168609465571054,0.3881830138391501,0.9075045759609518,0.5022421524663677,480.0,220.0,False,0.8693797264415771,1.1882459848192903,0.34340636145788694,7.8628970783187935
