rank_envelope,name,z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,inside_fill_fraction,outside_fraction,outer_band_rmse,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score,size50_x_um,size50_y_um
1,Z40+0.000_Z20+0.000_rmswaves,0.0,0.0,0.048811329584015205,1.0,0.9960951799877974,0.0,1.2953177791946904e-07,True,0.9989019002050464,0.9999464017644392,0.007574645829490279,7.856624577227443,374.0339748369473,137.1929810447036
2,Z40+0.000_Z20+0.375_rmswaves,0.0,0.375,14.2662394345795,0.714861196251861,1.0,0.28233645678255537,0.4330276357312897,False,0.8908435567044111,1.1037468275788491,0.289227671259281,5.9691291999962655,414.70092914844474,172.14207042874438
3,Z40+0.000_Z20-6.000_rmswaves,0.0,-6.0,20.373110397238168,0.5711843711843712,0.8562538133007932,0.37005117155938594,0.3876303238338045,False,1.564873409763506,1.5193340775055217,0.2977524144822626,25.167936600765746,326.66998689762465,422.71639513414857
4,Z40+0.000_Z20+5.250_rmswaves,0.0,5.25,20.897163109809334,0.4968652991661087,1.0,0.5011869255584637,0.2464750823377505,False,1.1028272434979278,1.1263773418829706,0.17052182872320787,10.140962235473207,1028.6232573379855,717.5577596026102
5,Z40+0.000_Z20+5.625_rmswaves,0.0,5.625,20.996599577900973,0.487256013848266,1.0,0.5108338804990151,0.21510917014439232,False,1.1354695420630505,1.1504467508916414,0.13889595453738554,11.250803179795954,1067.8667544600125,767.1356588354439
6,Z40-3.000_Z20+6.000_rmswaves,-3.0,6.0,21.159257221864486,0.48743058458231325,1.0,0.5106586254254494,0.23541468223250384,False,1.1529334777690077,1.218538065737957,0.19436793422301785,12.463640112579467,478.3627011336923,2260.6959321572085
7,Z40+0.000_Z20+4.875_rmswaves,0.0,4.875,21.210556205839357,0.49831546707503827,0.9951189749847468,0.49960115358654966,0.28348987802313336,False,1.0784527351746296,1.1224598403682582,0.21269127663270618,9.492061895256684,1002.0999601875042,668.0104658180621
8,Z40+0.000_Z20+6.000_rmswaves,0.0,6.0,21.302127254895186,0.4752285032310648,1.0,0.5229085404901904,0.19757796954533144,False,1.1749196556345565,1.1864417872352735,0.12619736531915288,12.599791579172047,1114.6619972615572,818.0458485427686
9,Z40-3.000_Z20+5.625_rmswaves,-3.0,5.625,21.346519895907853,0.48421240411488375,0.9975594874923734,0.5133059474906233,0.2405999098562193,False,1.1645664286988362,1.2262475328390081,0.21213840347548588,12.78289864623024,482.14078744370033,2192.355319550399
10,Z40-3.000_Z20+4.875_rmswaves,-3.0,4.875,21.433813458425384,0.4906362471786738,0.9853569249542404,0.5037792662692804,0.2663328445745078,False,1.1885119759971303,1.2452740831918983,0.24951436305991923,13.524735961228568,488.73203137810253,2055.3022006561587
