rank,score,family,name,center_window_over_core_mean,middle_third_over_side_thirds,core_rms_fraction,top_over_bottom,left_over_right,profile_rmse_x,profile_rmse_y,params_json
178,6.08467067625178,elliptical_input_dip,elliptical_dip_d0.900_sx6.000_sy1.800mm,0.6043366750357153,0.8888757721699676,0.44186709280322434,1.0000000523174815,1.0000000083255987,0.2260179142256118,0.21625944490807786,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.9, ""amplitude_dip_sigma_x_mm"": 6.0, ""amplitude_dip_sigma_y_mm"": 1.8}"
179,6.420707520025093,elliptical_input_dip,elliptical_dip_d0.900_sx3.000_sy1.500mm,0.6339269159772309,0.7371154755874084,0.3911405317775219,1.000000035632141,0.9999999975265589,0.153648334967361,0.2931645443544059,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.9, ""amplitude_dip_sigma_x_mm"": 3.0, ""amplitude_dip_sigma_y_mm"": 1.5}"
180,6.434011615815388,elliptical_input_dip,elliptical_dip_d0.700_sx3.000_sy2.100mm,0.5888090175181999,0.7398434929608774,0.3024307546279057,1.000000023124685,0.9999999918550384,0.17438453955707325,0.20939015147721032,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.7000000000000001, ""amplitude_dip_sigma_x_mm"": 3.0, ""amplitude_dip_sigma_y_mm"": 2.1}"
181,6.467052177538541,elliptical_input_dip,elliptical_dip_d0.500_sx1.500_sy1.800mm,0.6492008277461492,0.6829075355276211,0.2500208678137148,1.0000000098746458,0.9999999822066622,0.1326837947961726,0.2333236244752666,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.5, ""amplitude_dip_sigma_x_mm"": 1.5, ""amplitude_dip_sigma_y_mm"": 1.8}"
182,6.51618228917348,elliptical_input_dip,elliptical_dip_d0.400_sx1.000_sy2.100mm,0.6704677639868677,0.6713681481930375,0.23357799384603953,1.0000000081098888,0.9999999891643244,0.14775712232507787,0.24174399814679587,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.4, ""amplitude_dip_sigma_x_mm"": 1.0, ""amplitude_dip_sigma_y_mm"": 2.1}"
183,6.595039999347127,elliptical_input_dip,elliptical_dip_d0.600_sx2.000_sy1.800mm,0.6222453113399838,0.695253042369817,0.27491676979600993,1.0000000180038657,0.9999999874581403,0.13778769623775713,0.2306028224398859,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.6000000000000001, ""amplitude_dip_sigma_x_mm"": 2.0, ""amplitude_dip_sigma_y_mm"": 1.8}"
184,6.642529498366022,elliptical_input_dip,elliptical_dip_d0.600_sx2.500_sy3.000mm,0.6279838607417452,0.6878625138169001,0.27915331921958997,1.0000000095657482,0.9999999903541616,0.13525578011387804,0.21675326726402214,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.6000000000000001, ""amplitude_dip_sigma_x_mm"": 2.5, ""amplitude_dip_sigma_y_mm"": 3.0}"
185,6.7112108648013935,elliptical_input_dip,elliptical_dip_d0.800_sx2.500_sy1.500mm,0.6186811932675377,0.7083472680629475,0.339948918330065,1.0000000258208994,0.9999999941783251,0.14882397479087292,0.27310343418892236,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.8, ""amplitude_dip_sigma_x_mm"": 2.5, ""amplitude_dip_sigma_y_mm"": 1.5}"
186,6.739245859087202,elliptical_input_dip,elliptical_dip_d0.700_sx1.500_sy1.200mm,0.6852488769430455,0.6605180890540235,0.28887403826955577,1.0000000163236358,0.9999999870197459,0.1228129313174248,0.29923972606848986,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.7000000000000001, ""amplitude_dip_sigma_x_mm"": 1.5, ""amplitude_dip_sigma_y_mm"": 1.2}"
187,6.8349130893702155,elliptical_input_dip,elliptical_dip_d0.900_sx2.000_sy1.200mm,0.7077264467658471,0.6670304755578167,0.35806824254124153,1.000000036016816,0.9999999949500209,0.10972474746543712,0.3493376519940892,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.9, ""amplitude_dip_sigma_x_mm"": 2.0, ""amplitude_dip_sigma_y_mm"": 1.2}"
188,6.891897311247467,elliptical_input_dip,elliptical_dip_d0.800_sx4.000_sy2.100mm,0.553595020274257,0.7846051115860172,0.35953526493617183,1.000000037230893,0.9999999973633323,0.2288739388768125,0.21593388340477682,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.8, ""amplitude_dip_sigma_x_mm"": 4.0, ""amplitude_dip_sigma_y_mm"": 2.1}"
189,6.9237624461926845,elliptical_input_dip,elliptical_dip_d0.700_sx2.500_sy1.800mm,0.5922027070654698,0.7092664006263569,0.30914874304109696,1.0000000226563646,0.9999999927530455,0.16287019746512993,0.23745907876586242,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.7000000000000001, ""amplitude_dip_sigma_x_mm"": 2.5, ""amplitude_dip_sigma_y_mm"": 1.8}"
190,6.9341904836342145,elliptical_input_dip,elliptical_dip_d0.600_sx1.000_sy1.200mm,0.7014990566888071,0.645214266472829,0.2669884571650605,1.0000000066658667,0.9999999841525624,0.13146299615989032,0.298992406066123,"{""amplitude_dip_family"": ""elliptical_input_dip"", ""amplitude_dip_depth"": 0.6000000000000001, ""amplitude_dip_sigma_x_mm"": 1.0, ""amplitude_dip_sigma_y_mm"": 1.2}"
