z40_rms_waves,z20_rms_waves,envelope_score,footprint_iou,outer_band_rmse,inside_fill_fraction,outside_fraction,size50_x_um,size50_y_um,rectangle_accepted,center_ratio,middle_over_sides,core_rms_fraction,hole_target_score
-0.15,-0.425,4.9676700538174146,0.9201274041406345,0.2313043272387487,0.9165344722391702,0.0,365.00000000000006,135.0,True,0.7374348318510641,0.8879202592264968,0.22353938279140997,1.0786205497355703
-0.15,-0.4125,4.179244077800838,0.9377679774592674,0.21597246515502544,0.9341061622940817,0.0,365.00000000000006,135.0,True,0.7289818666401393,0.8894207244084175,0.22161162383906582,1.270726834430207
-0.15,-0.39999999999999997,3.4569107313494314,0.9541835109641064,0.20306621479702086,0.95045759609518,0.0,370.00000000000006,135.0,True,0.7216978281670487,0.8910618330854306,0.2214324236771163,1.428977964119786
-0.15,-0.38749999999999996,2.9813739034977838,0.9647188533627343,0.19334912832489864,0.9609517998779744,0.0,370.00000000000006,135.0,True,0.7154591252280477,0.8928269468022383,0.2229499451284215,1.5567609441320145
-0.15,-0.375,2.566505415841762,0.9745191718730859,0.18760894038299025,0.9707138499084808,0.0,370.00000000000006,135.0,True,0.7101534740854032,0.8947071159987333,0.22606929370143256,1.659102937312234
-0.15,-0.3625,2.4461541936902145,0.9775363203516054,0.18650910663954678,0.9770591824283099,0.0034847542003733664,370.00000000000006,140.00000000000003,True,0.7056825472184646,0.8967016232732657,0.23065961484346517,1.7418198095954829
-0.15,-0.35,2.7724537157005407,0.9698176989013643,0.1904175528337902,0.9802318486882245,0.01471850852446952,375.0,140.00000000000003,True,0.7019628801917235,0.8988178236202022,0.23656446373431114,1.8109845436807461
-0.15,-0.33749999999999997,3.0244171498153216,0.9651009919923509,0.19930743575996857,0.9853569249542404,0.024640657084188913,375.0,140.00000000000003,True,0.6989270721101477,0.9010709616820075,0.24361252904388184,1.8724688064102633
-0.15,-0.32499999999999996,3.4426937843018965,0.9566710074582692,0.21279284328219514,0.9865771812080537,0.03347280334728033,375.0,140.00000000000003,True,0.6965233690591601,0.9034836173021709,0.2516274981059981,1.9315718919180012
-0.15,-0.3125,3.800162177976505,0.9506984387838948,0.2302687789550995,0.9892617449664429,0.04115907746895328,375.0,140.00000000000003,True,0.6947142009219033,0.906084497154999,0.26043526988505444,1.9927448605079408
-0.15,-0.3,4.039801631504614,0.9482859482859483,0.25106386932744373,0.9909701037217816,0.043350217929084695,375.0,140.00000000000003,True,0.6934750807094021,0.9089076610099817,0.2698687221908748,2.0594020508590427
-0.15,-0.2875,4.734193383714814,0.9346600713217531,0.2745432832027578,0.9938987187309335,0.058925476603119586,380.00000000000006,145.0,True,0.6927915327745844,0.9119907329423529,0.2797703090582006,2.133896006755446
-0.15,-0.27499999999999997,5.1462325926340995,0.9287264420331239,0.3001528712139881,0.9956070774862721,0.06465665482058924,380.00000000000006,145.0,True,0.6926566428735667,0.915373561353127,0.28999277478293567,2.2175905272982686
-0.15,-0.26249999999999996,5.535831050623353,0.924288790660773,0.3274256776397354,0.9985356924954241,0.07169597277368123,380.00000000000006,145.0,True,0.6930676173722665,0.9190964582872185,0.30039928746532685,2.3110472650289458
-0.15,-0.24999999999999997,6.038406394685677,0.9168819499045265,0.3559689830199247,1.0,0.0795237560372908,385.00000000000006,145.0,True,0.6940223861086275,0.923198377813758,0.31086259388003074,2.4142538939050593
-0.15,-0.2375,6.914243595254179,0.900099239166391,0.3854485632201145,1.0,0.0963722571397067,385.00000000000006,145.0,True,0.6955162963735069,0.9277151690652822,0.3212645228172515,2.526855759706147
-0.15,-0.22499999999999998,7.209935179512454,0.8989098116947473,0.41557213564787043,1.0,0.09756634731857725,385.00000000000006,145.0,True,0.6975389659287572,0.9326777644549662,0.3314951900726623,2.6483480536246806
-0.15,-0.21249999999999997,7.8099402923920245,0.8897002724795641,0.4460756688745089,1.0,0.10681198910081743,385.00000000000006,150.0,True,0.7000712421990475,0.9381105209783505,0.3414525279747714,2.7782144674837226
-0.15,-0.19999999999999998,8.296676032568788,0.8835371793484144,0.4767137984401305,1.0,0.11299924234224483,390.00000000000006,150.0,True,0.703083314529905,0.9440296104497032,0.35104205610882117,2.915988426915725
-0.15,-0.18749999999999997,8.99752350235021,0.8716497597437266,0.5072522062937711,1.0,0.12493326214628937,390.00000000000006,150.0,True,0.7065326390356238,0.9504416440114278,0.36017660724449924,3.0612661538284685
-0.15,-0.175,9.553945544764014,0.8635353855918756,0.5374604536293777,1.0,0.13307944567862054,390.00000000000006,150.0,True,0.7103631380106479,0.957342399882023,0.36877639316497296,3.2136634736162253
-0.14375,-0.425,5.55161129095863,0.909102045816489,0.25182774129677854,0.9055521659548506,0.0,365.00000000000006,130.0,True,0.761973995206784,0.889831428171591,0.22294839545712453,0.6490909058076483
-0.14375,-0.4125,5.054117925978671,0.918412348401323,0.23397036654715703,0.9148261134838316,0.0,365.00000000000006,130.0,True,0.7516850802173869,0.8910891043376288,0.2185659548763788,0.8529639585556148
-0.14375,-0.39999999999999997,4.322057264440183,0.9343378659806444,0.21769463684986193,0.9306894447834045,0.0,365.00000000000006,135.0,True,0.7426548720981397,0.8924975156111801,0.21596457729992022,1.0406060780569995
-0.14375,-0.38749999999999996,3.535099353102681,0.952223447262036,0.2036400432920479,0.9485051860890787,0.0,370.00000000000006,135.0,True,0.7347621583078255,0.8940376365397198,0.2151532597594338,1.2000131884951273
